TeamCode,Team Name,PrimaryColor,SecondaryColor,Division,Conf,NFL,FBS,Power 5,Conference  ,Logo
CTUN,Uconn,#000E2F,#FFFFFF,IA,AAC,0,1,0,American Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/41.png
MAUN,UMass,#971B2F,#572932,IA,IND (FBS),0,1,0,Independent,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png
NVLV,UNLV,#B10202,#666666,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2439.png
CASC,USC,#FFC72C,#990000,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/30.png
UTUN,Utah,#CC0000,#808080,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png
UTST,Utah State,#0F2439,#FFFFFF,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png
TXEP,UTEP,#FF8200,#041E42,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2638.png
TXSN,UTSA,#F15A22,#0C2340,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2636.png
TNVA,Vanderbilt,#000000,#866D4B,IA,SEC,0,1,1,Southeastern Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/238.png
VAUN,Virginia,#232D4B,#F84C1E,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png
VAPI,Virginia Tech,#630031,#CF4420,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png
NCWF,Wake Forest,#A67F31,#000000,IA,ACC,0,1,1,Atlantic Coast Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png
WAUN,Washington,#4B2E83,#B7A57A,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/264.png
WAST,Washington State,#981E32,#5E6A71,IA,PAC-12,0,1,1,Pacific Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png
WVUN,West Virginia,#002855,#EAAA00,IA,Big-12,0,1,1,Big Twelve Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/277.png
KYWE,Western Kentucky,#C60C30,#1E1E1E,IA,C-USA,0,1,0,Conference USA,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/98.png
MIWE,Western Michigan,#6C4023,#B5A167,IA,MAC,0,1,0,Mid-American Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2711.png
WIUN,Wisconsin,#C5050C,#FFFFFF,IA,Big Ten,0,1,1,Big Ten Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png
WYUN,Wyoming,#FFC425,#492F24,IA,MWC,0,1,0,Mountain West Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2751.png
TXAC,ABILENE CHRISTIAN,,,IAA,Southland,0,0,0,Southland Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2000.png
ALAM,ALABAMA A&M,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2010.png
ALST,ALABAMA ST,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2011.png
GAAL,ALBANY STATE,,,D2,D2,,0,0,D2,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2016.png
MSAL,ALCORN ST,,,IAA,SWAC,0,0,0,Southwestern Athletic Conference,
WVAB,ALDERSON BROADDUS,,,D2,D2,,0,0,D2,
ARPB,ARKANSAS-PINEBLUFF,,,IAA,SWAC,0,0,0,ALL-STAR BOWL,
ARZ,ARZ,,,NFC WEST,NFC,0,0,0,ALL-STAR BOWL,
ATL,ATL,,,NFC SOUTH,NFC,1,0,0,NFC,
TNAP,AUSTIN PEAY ST,,,IAA,Ohio Valley,0,0,0,Ohio Valley Conference,
OKBC,BACONE COLLEGE,,,NAIA,NAIA,,0,0,NAIA,
